index,aadnet_channel_name,montage_channel_name,match
0,Fp1,Fp1,True
1,AF7,AF7,True
2,AF3,AF3,True
3,F1,F1,True
4,F3,F3,True
5,F5,F5,True
6,F7,F7,True
7,FT7,FT7,True
8,FC5,FC5,True
9,FC3,FC3,True
10,FC1,FC1,True
11,C1,C1,True
12,C3,C3,True
13,C5,C5,True
14,T7,T7,True
15,TP7,TP7,True
16,CP5,CP5,True
17,CP3,CP3,True
18,CP1,CP1,True
19,P1,P1,True
20,P3,P3,True
21,P5,P5,True
22,P7,P7,True
23,P9,P9,True
24,PO7,PO7,True
25,PO3,PO3,True
26,O1,O1,True
27,Iz,Iz,True
28,Oz,Oz,True
29,POz,POz,True
30,Pz,Pz,True
31,CPz,CPz,True
32,Fpz,Fpz,True
33,Fp2,Fp2,True
34,AF8,AF8,True
35,AF4,AF4,True
36,AFz,AFz,True
37,Fz,Fz,True
38,F2,F2,True
39,F4,F4,True
40,F6,F6,True
41,F8,F8,True
42,FT8,FT8,True
43,FC6,FC6,True
44,FC4,FC4,True
45,FC2,FC2,True
46,FCz,FCz,True
47,Cz,Cz,True
48,C2,C2,True
49,C4,C4,True
50,C6,C6,True
51,T8,T8,True
52,TP8,TP8,True
53,CP6,CP6,True
54,CP4,CP4,True
55,CP2,CP2,True
56,P2,P2,True
57,P4,P4,True
58,P6,P6,True
59,P8,P8,True
60,P10,P10,True
61,PO8,PO8,True
62,PO4,PO4,True
63,O2,O2,True
